1.png	[{"device": ["UFO", "箱柜"], "device_point": [[6238.662109375, 1775.55126953125, 147.65283203125, 88.587890625], [6231.2919921875, 1966.00537109375, 137.61962890625, 76.53564453125]]}]
10_0.png	[{"device": ["cabinet", "安防1", "安防2"], "device_point": [[2660.6298828125, 2425.4501953125, 249.787109375, 262.297119140625], [3374.216552734375, 3774.38671875, 192.50390625, 175.60205078125], [4041.015625, 2373.773681640625, 316.029541015625, 174.14453125]]}]
10_10.png	[{"device": ["安防1", "安防1"], "device_point": [[3377.0537109375, 1406.197265625, 191.444091796875, 169.82373046875], [3381.48046875, 38.37393569946289, 159.34423828125, 76.74787139892578]]}]
10_11.png	[{"device": ["箱柜"], "device_point": [[4418.509765625, 237.8092498779297, 462.017578125, 213.46578979492188]]}]
10_18.png	[{"device": ["箱柜"], "device_point": [[1216.252197265625, 2597.05126953125, 547.2277221679688, 245.753662109375]]}]
10_5.png	[{"device": ["安防1", "安防1", "安防2", "安防2"], "device_point": [[3377.89599609375, 1177.0252685546875, 190.36181640625, 171.7666015625], [3374.304443359375, 2586.74462890625, 189.25732421875, 173.631103515625], [4042.44580078125, 1183.88916015625, 324.271728515625, 172.2806396484375], [4043.046875, 2593.103515625, 315.645263671875, 184.673095703125]]}]
11_10.png	[{"device": ["安防1", "安防1", "安防1", "安防1", "安防1", "安防1"], "device_point": [[4822.515625, 3214.035888671875, 125.11376953125, 118.80712890625], [1887.2786865234375, 3448.11376953125, 127.652099609375, 116.233642578125], [1426.34130859375, 3250.640380859375, 126.2061767578125, 116.68115234375], [990.6445922851562, 3935.15869140625, 127.2532958984375, 119.94775390625], [1580.146484375, 713.524169921875, 122.8590087890625, 119.650634765625], [1290.322021484375, 1686.8548583984375, 117.012451171875, 114.208740234375]]}]
11_13.png	[{"device": ["安防1", "安防1", "安防1", "安防1", "安防1", "安防1", "安防1", "安防1"], "device_point": [[4919.44384765625, 3779.32958984375, 113.8134765625, 104.89111328125], [4615.3583984375, 1636.616943359375, 124.30126953125, 115.0262451171875], [179.8776092529297, 1544.248291015625, 132.79779052734375, 124.0638427734375], [4059.8701171875, 403.01904296875, 124.163818359375, 115.16842651367188], [2431.208984375, 465.4082336425781, 141.450927734375, 125.08197021484375], [1533.977294921875, 1033.986083984375, 131.625, 126.3577880859375], [1039.0198974609375, 198.2928466796875, 135.32257080078125, 117.81378173828125], [2272.667236328125, 292.9627380371094, 130.84033203125, 118.58961486816406]]}]
11_15.png	[{"device": ["安防1", "安防1", "安防2"], "device_point": [[5105.826171875, 158.1841583251953, 129.01806640625, 125.98030853271484], [5104.76171875, 2822.598388671875, 116.47900390625, 115.16796875], [3301.50390625, 3911.70654296875, 107.9140625, 178.587158203125]]}]
11_16.png	[{"device": ["安防1", "安防1", "安防1"], "device_point": [[1138.32177734375, 326.45867919921875, 127.0560302734375, 116.60330200195312], [3389.47021484375, 144.23312377929688, 116.496826171875, 103.88034057617188], [3385.829345703125, 259.75408935546875, 123.38330078125, 114.73960876464844]]}]
11_18.png	[{"device": ["安防1", "安防2"], "device_point": [[5660.892578125, 230.6634063720703, 125.48486328125, 115.61019897460938], [3353.8271484375, 59.34002685546875, 179.007568359375, 118.6800537109375]]}]
11_19.png	[{"device": ["安防1", "安防1", "安防1", "安防1"], "device_point": [[2601.619140625, 1487.4678955078125, 128.01318359375, 120.82861328125], [3815.247314453125, 173.45799255371094, 119.04638671875, 114.6957015991211], [3819.18359375, 28.030105590820312, 105.887939453125, 56.060211181640625], [3373.58349609375, 2865.71142578125, 113.404541015625, 84.410888671875]]}]
11_4.png	[{"device": ["安防1", "安防1", "安防1", "安防1"], "device_point": [[4179.169921875, 3673.979248046875, 126.82421875, 118.9169921875], [2854.47119140625, 2234.708251953125, 127.087158203125, 119.47900390625], [1886.3941650390625, 2694.96923828125, 125.92724609375, 121.9775390625], [2851.3115234375, 2843.9814453125, 118.916015625, 93.656494140625]]}]
11_6.png	[{"device": ["安防2", "安防1"], "device_point": [[5587.19775390625, 3668.29052734375, 205.705078125, 142.788818359375], [5509.2646484375, 1507.3289794921875, 71.65673828125, 82.6767578125]]}]
11_7.png	[{"device": ["安防1", "安防1", "安防1", "安防1", "安防1", "安防1", "安防1", "安防1", "安防1"], "device_point": [[1473.491455078125, 1286.41455078125, 127.1759033203125, 114.8096923828125], [1841.526123046875, 2540.116943359375, 121.808349609375, 117.0400390625], [2352.36474609375, 1088.564208984375, 124.221923828125, 116.9085693359375], [2227.272216796875, 3266.627685546875, 135.70703125, 115.494140625], [1347.93505859375, 1545.0908203125, 118.47607421875, 114.7037353515625], [4345.4658203125, 1844.684326171875, 129.01171875, 122.2633056640625], [478.26800537109375, 3418.457275390625, 148.7054443359375, 123.107421875], [479.3802490234375, 3588.62890625, 131.67822265625, 120.294189453125], [2217.74951171875, 3443.5302734375, 128.853515625, 119.194091796875]]}]
11_9.png	[{"device": ["安防2", "安防2", "安防2", "安防2", "安防2", "安防1", "安防2", "安防2", "安防2", "安防2"], "device_point": [[5198.2080078125, 1350.3189697265625, 162.83154296875, 165.01611328125], [4759.013671875, 2144.517578125, 90.19580078125, 160.113037109375], [4466.43359375, 1898.53955078125, 169.78564453125, 160.3045654296875], [4587.05859375, 3032.54931640625, 133.89501953125, 179.833740234375], [3840.349609375, 3383.8388671875, 146.470947265625, 183.41015625], [5174.8427734375, 2070.2333984375, 119.02001953125, 122.7874755859375], [4418.0625, 2040.3665771484375, 185.03564453125, 136.060302734375], [3293.73876953125, 3053.328369140625, 182.081298828125, 153.16357421875], [4317.412109375, 2431.595458984375, 199.5517578125, 133.78662109375], [4604.5771484375, 1310.454345703125, 175.56982421875, 96.6917724609375]]}]
13_1.png	[{"device": ["安防1", "安防2"], "device_point": [[2540.76953125, 3004.64306640625, 128.453857421875, 116.71875], [4049.52880859375, 2674.1884765625, 196.787841796875, 136.4775390625]]}]
13_10.png	[{"device": ["安防1", "安防2"], "device_point": [[2539.93310546875, 2893.34521484375, 118.701416015625, 112.300048828125], [3141.762939453125, 3860.002197265625, 68.09326171875, 76.92626953125]]}]
13_12.png	[{"device": ["安防1"], "device_point": [[5895.1494140625, 1531.761962890625, 178.8095703125, 108.2144775390625]]}]
13_13.png	[{"device": ["安防2", "安防2", "安防2", "安防2"], "device_point": [[4018.16796875, 810.2822875976562, 139.59423828125, 170.29931640625], [4015.465576171875, 989.998779296875, 123.74658203125, 165.6748046875], [2035.4154052734375, 814.7977294921875, 140.333740234375, 158.04864501953125], [2037.0845947265625, 990.6011352539062, 124.442626953125, 170.0059814453125]]}]
13_15.png	[{"device": ["安防2", "安防2"], "device_point": [[5267.20751953125, 1518.42578125, 191.35546875, 163.5341796875], [5950.119140625, 1325.952392578125, 101.76123046875, 179.8507080078125]]}]
13_16.png	[{"device": ["安防2", "安防2", "安防2", "安防1", "安防2", "安防2"], "device_point": [[4015.7978515625, 2354.33837890625, 134.653076171875, 190.051025390625], [3170.336181640625, 1513.939697265625, 180.76416015625, 127.9537353515625], [5490.1357421875, 1864.4344482421875, 166.28173828125, 158.321044921875], [2317.625, 3936.23046875, 127.57421875, 119.523681640625], [2048.39208984375, 1321.4591064453125, 147.6534423828125, 164.2626953125], [5489.57763671875, 2009.78564453125, 153.2783203125, 157.2462158203125]]}]
13_18.png	[{"device": ["安防2", "安防2", "安防2", "安防2", "安防2"], "device_point": [[5221.4169921875, 588.0831909179688, 97.18212890625, 176.992919921875], [5930.7568359375, 432.66778564453125, 125.21484375, 182.93167114257812], [5637.93310546875, 3889.013916015625, 163.51171875, 147.1806640625], [5650.3642578125, 3352.0078125, 183.26416015625, 108.371826171875], [4710.8125, 855.1798095703125, 167.755859375, 83.16961669921875]]}]
13_19.png	[{"device": ["安防2", "安防2", "安防2", "安防2", "安防2", "安防2"], "device_point": [[4013.6455078125, 1133.88134765625, 137.933349609375, 171.8956298828125], [1976.339111328125, 404.95635986328125, 146.37939453125, 165.7744140625], [4015.720458984375, 1293.9898681640625, 118.9892578125, 161.9677734375], [1977.038818359375, 562.18701171875, 140.9390869140625, 165.17266845703125], [4133.3388671875, 3184.69921875, 170.094970703125, 80.9697265625], [986.037841796875, 3768.5224609375, 109.697265625, 174.441650390625]]}]
13_21.png	[{"device": ["安防2"], "device_point": [[5930.064453125, 72.15361022949219, 141.45556640625, 144.30722045898438]]}]
13_22.png	[{"device": ["安防1", "安防1", "安防1", "安防2", "安防2", "安防2", "安防1", "安防2"], "device_point": [[3216.1669921875, 1966.85009765625, 129.302001953125, 117.361572265625], [4857.47705078125, 511.8797912597656, 119.83984375, 114.18597412109375], [1840.536865234375, 714.7462158203125, 126.8067626953125, 127.57794189453125], [179.2474822998047, 1962.1314697265625, 149.29510498046875, 181.848876953125], [985.928955078125, 866.0354614257812, 132.98809814453125, 179.8775634765625], [1477.2890625, 1046.0589599609375, 178.2257080078125, 164.1845703125], [1195.4970703125, 503.89495849609375, 130.1915283203125, 111.86404418945312], [60.17446517944336, 1043.120361328125, 119.9969253540039, 162.02899169921875]]}]
13_3.png	[{"device": ["安防2", "安防2"], "device_point": [[5941.53076171875, 1730.4395751953125, 110.8017578125, 176.487548828125], [5943.6513671875, 1887.9169921875, 87.791015625, 154.760498046875]]}]
13_4.png	[{"device": ["安防2", "安防2", "安防2", "安防2"], "device_point": [[4029.2412109375, 1738.849365234375, 113.686279296875, 153.393310546875], [2039.830322265625, 1737.21728515625, 124.7529296875, 158.001953125], [2035.6090087890625, 1890.0738525390625, 110.824462890625, 163.19189453125], [4024.03955078125, 1891.5107421875, 101.119873046875, 166.9227294921875]]}]
13_6.png	[{"device": ["安防2", "安防2"], "device_point": [[5936.61376953125, 2278.98486328125, 116.7880859375, 193.163330078125], [5230.24560546875, 1927.574951171875, 174.2685546875, 89.5623779296875]]}]
13_7.png	[{"device": ["安防2", "安防1", "安防2", "安防2", "安防2", "安防2"], "device_point": [[4027.3720703125, 3487.28515625, 102.870849609375, 179.340576171875], [2317.9365234375, 3821.2626953125, 130.976318359375, 114.651123046875], [4028.23388671875, 388.1961669921875, 106.392333984375, 185.087158203125], [4060.8115234375, 2246.29833984375, 175.81640625, 127.043701171875], [1992.576904296875, 390.7842102050781, 106.6668701171875, 182.4508056640625], [1980.968994140625, 3490.47119140625, 96.2001953125, 160.932373046875]]}]
13_9.png	[{"device": ["安防1", "安防1"], "device_point": [[5878.4853515625, 728.9931030273438, 144.74609375, 99.9161376953125], [5892.52783203125, 3207.27197265625, 169.09375, 105.594970703125]]}]
14_0.png	[{"device": ["安防2", "安防1"], "device_point": [[4721.72412109375, 3780.17041015625, 119.978515625, 100.2392578125], [4243.796875, 3416.893310546875, 75.3671875, 79.802734375]]}]
14_10.png	[{"device": ["安防2", "安防2", "安防1"], "device_point": [[4878.720703125, 1889.011962890625, 102.9453125, 116.0501708984375], [4430.388671875, 948.2770385742188, 117.43115234375, 88.5321044921875], [4347.525390625, 1352.713623046875, 83.54052734375, 62.052734375]]}]
14_12.png	[{"device": ["安防1"], "device_point": [[122.67408752441406, 1615.57666015625, 70.19391632080078, 76.9462890625]]}]
14_15.png	[{"device": ["安防2", "安防2", "安防2", "安防2"], "device_point": [[4759.2646484375, 1017.7918701171875, 135.6796875, 107.67620849609375], [4707.32275390625, 693.893798828125, 127.455078125, 115.20196533203125], [4746.623046875, 1189.0372314453125, 136.59619140625, 107.1123046875], [4793.9140625, 520.3778076171875, 121.28076171875, 107.6107177734375]]}]
14_17.png	[{"device": ["安防1"], "device_point": [[271.69085693359375, 1703.8985595703125, 78.21809387207031, 75.335205078125]]}]
14_18.png	[{"device": ["UFO", "安防1"], "device_point": [[2167.031494140625, 1719.343505859375, 111.59326171875, 64.909423828125], [2040.69287109375, 1704.8096923828125, 91.6649169921875, 71.930419921875]]}]
14_2.png	[{"device": ["安防1"], "device_point": [[274.8253173828125, 3254.27783203125, 71.76840209960938, 67.349365234375]]}]
14_3.png	[{"device": ["安防1", "UFO", "箱柜"], "device_point": [[2042.155029296875, 3259.86279296875, 83.3406982421875, 70.5771484375], [2170.486572265625, 3287.439453125, 119.67919921875, 71.920166015625], [2190.23046875, 3357.31591796875, 161.17919921875, 71.556396484375]]}]
14_5.png	[{"device": ["安防2", "安防2"], "device_point": [[4772.92822265625, 45.72386932373047, 132.1083984375, 91.44773864746094], [4743.05126953125, 433.0224609375, 140.7998046875, 99.11874389648438]]}]
15_10.png	[{"device": ["安防1", "安防2", "安防1"], "device_point": [[2983.84765625, 75.10494232177734, 182.21728515625, 150.2098846435547], [3645.53173828125, 77.51496887207031, 303.541015625, 155.02993774414062], [3321.013671875, 66.36917877197266, 80.0693359375, 84.44664764404297]]}]
15_11.png	[{"device": ["箱柜"], "device_point": [[4030.383544921875, 1713.01318359375, 467.82861328125, 210.7314453125]]}]
15_5.png	[{"device": ["UFO", "安防1", "安防1"], "device_point": [[3061.623291015625, 699.9658813476562, 159.4794921875, 80.7547607421875], [2986.4462890625, 2664.771484375, 191.684326171875, 167.617431640625], [2986.383544921875, 1262.4609375, 194.24609375, 176.8272705078125]]}]
16_0.png	[{"device": ["安防2", "安防1"], "device_point": [[4474.40966796875, 3563.6572265625, 114.052734375, 78.92822265625], [4193.3447265625, 3148.870849609375, 71.28759765625, 62.80078125]]}]
16_1.png	[{"device": ["安防1"], "device_point": [[5974.1767578125, 3170.29541015625, 49.6376953125, 81.065673828125]]}]
16_10.png	[{"device": ["安防1", "安防2"], "device_point": [[4069.26416015625, 1110.1087646484375, 64.845703125, 61.5361328125], [4503.283203125, 1605.11767578125, 120.4619140625, 72.6265869140625]]}]
16_11.png	[{"device": ["安防1"], "device_point": [[5812.5205078125, 1330.3582763671875, 66.94970703125, 70.844482421875]]}]
16_13.png	[{"device": ["安防1", "箱柜"], "device_point": [[1610.7198486328125, 1355.851318359375, 67.201171875, 66.251708984375], [1525.835205078125, 1500.775634765625, 146.3433837890625, 66.3238525390625]]}]
16_15.png	[{"device": ["安防1", "安防2", "安防2"], "device_point": [[4222.31494140625, 1451.916015625, 71.197265625, 65.122314453125], [4481.771484375, 969.7881469726562, 111.83447265625, 86.6888427734375], [4482.201171875, 1052.6796875, 118.15087890625, 73.2977294921875]]}]
16_16.png	[{"device": ["安防1"], "device_point": [[5974.64306640625, 1442.4775390625, 48.37109375, 77.001220703125]]}]
16_18.png	[{"device": ["安防1", "箱柜", "UFO", "UFO"], "device_point": [[1770.1572265625, 1451.245849609375, 76.8775634765625, 70.3843994140625], [1909.99755859375, 1532.3001708984375, 148.7384033203125, 76.339599609375], [1882.872314453125, 1462.595947265625, 108.3638916015625, 71.2747802734375], [1875.81494140625, 1462.51025390625, 116.656494140625, 52.8153076171875]]}]
16_3.png	[{"device": ["UFO", "箱柜", "安防1"], "device_point": [[1872.1009521484375, 3027.24365234375, 111.6162109375, 61.112548828125], [1905.451416015625, 3094.54443359375, 148.5284423828125, 68.550048828125], [1751.43896484375, 3169.498291015625, 59.73779296875, 66.6953125]]}]
17_11.png	[{"device": ["箱柜"], "device_point": [[4258.08154296875, 1516.63916015625, 461.147705078125, 220.388671875]]}]
17_18.png	[{"device": ["箱柜"], "device_point": [[1059.6370849609375, 2476.612548828125, 561.978271484375, 252.9072265625]]}]
17_5.png	[{"device": ["安防1", "安防1", "安防1", "UFO", "安防2"], "device_point": [[3212.23291015625, 3877.02001953125, 190.649658203125, 167.524658203125], [3213.9150390625, 1061.157470703125, 198.4140625, 175.9393310546875], [3215.7470703125, 2469.2763671875, 203.4169921875, 176.364501953125], [3281.60546875, 502.0494689941406, 158.762939453125, 85.95574951171875], [3866.6982421875, 3878.876708984375, 300.876220703125, 165.7919921875]]}]
18_10.png	[{"device": ["安防1"], "device_point": [[4847.607421875, 3813.33984375, 80.77197265625, 74.966064453125]]}]
18_12.png	[{"device": ["安防1"], "device_point": [[619.144775390625, 3813.533203125, 78.60467529296875, 73.54052734375]]}]
18_13.png	[{"device": ["安防1"], "device_point": [[2385.09375, 3811.55029296875, 74.18505859375, 67.146240234375]]}]
18_5.png	[{"device": ["安防1"], "device_point": [[4991.5869140625, 1617.95849609375, 85.251953125, 55.2813720703125]]}]
18_7.png	[{"device": ["安防1"], "device_point": [[767.2596435546875, 1618.372314453125, 76.68707275390625, 76.2298583984375]]}]
18_8.png	[{"device": ["UFO", "安防1"], "device_point": [[2660.55322265625, 1479.040283203125, 112.09521484375, 68.2611083984375], [2537.47998046875, 1616.760009765625, 71.923095703125, 71.96533203125]]}]
19_10.png	[{"device": ["安防1", "安防2"], "device_point": [[2994.6318359375, 260.462158203125, 178.251953125, 161.58438110351562], [3661.9296875, 259.27532958984375, 310.647705078125, 175.00030517578125]]}]
19_11.png	[{"device": ["箱柜"], "device_point": [[4040.31884765625, 1904.7183837890625, 461.3203125, 214.45166015625]]}]
19_18.png	[{"device": ["箱柜"], "device_point": [[840.7271728515625, 2863.896484375, 568.0620727539062, 246.4306640625]]}]
19_5.png	[{"device": ["安防1", "安防1", "UFO"], "device_point": [[2996.2900390625, 1448.255615234375, 193.47509765625, 178.107177734375], [2995.73486328125, 2854.96630859375, 205.928466796875, 176.24853515625], [3060.0859375, 884.953125, 154.793212890625, 86.3037109375]]}]
1_0.png	[{"device": ["UFO"], "device_point": [[3277.93212890625, 2510.14111328125, 169.779541015625, 81.916748046875]]}]
1_10.png	[{"device": ["安防1", "安防1", "安防2", "cabinet"], "device_point": [[3206.1259765625, 264.6072082519531, 186.345947265625, 165.8776397705078], [2534.837890625, 1691.9853515625, 188.953857421875, 167.7828369140625], [3195.89794921875, 1694.4776611328125, 315.314453125, 183.58984375], [3874.87353515625, 1754.419921875, 238.600341796875, 234.681884765625]]}]
1_5.png	[{"device": ["安防1", "安防1", "UFO", "安防2", "安防1"], "device_point": [[2534.8046875, 1439.802490234375, 193.673583984375, 173.73193359375], [3207.884765625, 2852.9267578125, 193.19873046875, 168.910400390625], [3279.848388671875, 2293.77197265625, 156.03173828125, 82.936279296875], [3191.94921875, 1444.77001953125, 315.108154296875, 181.502685546875], [3210.0888671875, 51.272422790527344, 176.025634765625, 102.54484558105469]]}]
20_11.png	[{"device": ["安防2", "安防1", "安防2", "安防2"], "device_point": [[4605.7138671875, 1888.5321044921875, 88.84912109375, 119.350341796875], [1372.5146484375, 2292.21875, 108.4158935546875, 105.834228515625], [861.2120361328125, 2614.578125, 127.3717041015625, 116.802490234375], [4623.1826171875, 2002.777587890625, 129.5859375, 80.5277099609375]]}]
20_12.png	[{"device": ["安防2", "安防2", "安防2", "安防2", "安防2", "安防2"], "device_point": [[2550.430908203125, 908.0360107421875, 110.228515625, 95.08819580078125], [4218.068359375, 888.77978515625, 90.32666015625, 106.55682373046875], [3567.8408203125, 1772.5419921875, 129.96142578125, 95.9779052734375], [56.5995979309082, 1750.0870361328125, 112.4925308227539, 82.823486328125], [5034.69091796875, 2383.327880859375, 75.671875, 120.4521484375], [4215.7880859375, 872.442626953125, 88.33447265625, 95.9083251953125]]}]
20_13.png	[{"device": ["安防2", "安防2", "安防2"], "device_point": [[3324.27490234375, 428.2222900390625, 102.830810546875, 118.5440673828125], [3341.892822265625, 2441.42041015625, 128.67138671875, 77.41796875], [3912.519287109375, 1767.546875, 124.1318359375, 77.967529296875]]}]
20_6.png	[{"device": ["安防2", "安防2", "安防2"], "device_point": [[1798.2734375, 3544.70068359375, 117.4013671875, 71.3154296875], [4588.833984375, 3412.6748046875, 119.11376953125, 70.32080078125], [4878.3876953125, 3095.9931640625, 77.349609375, 118.104248046875]]}]
20_7.png	[{"device": ["安防2", "安防2", "安防2", "安防2"], "device_point": [[2548.4384765625, 3961.216796875, 109.17724609375, 78.167236328125], [2887.83642578125, 3113.94873046875, 100.465576171875, 76.919189453125], [2764.357421875, 3116.307861328125, 102.727294921875, 78.5888671875], [5321.07373046875, 3094.28955078125, 79.3037109375, 102.658203125]]}]
20_8.png	[{"device": ["安防2"], "device_point": [[3942.46337890625, 3751.666015625, 120.341552734375, 93.480712890625]]}]
21_10.png	[{"device": ["安防1", "安防1", "安防2", "安防2", "安防2", "安防2"], "device_point": [[3076.8720703125, 1619.683349609375, 190.089599609375, 164.95654296875], [3078.154052734375, 204.52218627929688, 192.00537109375, 165.7167205810547], [3753.396484375, 211.89161682128906, 298.990234375, 177.14663696289062], [3741.514892578125, 1622.5048828125, 308.330078125, 170.1207275390625], [3197.89404296875, 2073.7060546875, 299.23388671875, 175.625244140625], [3745.30224609375, 471.75439453125, 308.680908203125, 172.13345336914062]]}]
21_11.png	[{"device": ["箱柜"], "device_point": [[4121.966796875, 1847.5196533203125, 456.4013671875, 218.462890625]]}]
21_18.png	[{"device": ["箱柜"], "device_point": [[919.5750732421875, 2812.36474609375, 568.04736328125, 245.379150390625]]}]
21_5.png	[{"device": ["安防1", "安防1", "UFO"], "device_point": [[3074.38427734375, 2797.605224609375, 197.241455078125, 176.9140625], [3076.245849609375, 1391.5902099609375, 191.82568359375, 170.0361328125], [3144.6181640625, 828.3658447265625, 165.4599609375, 93.35369873046875]]}]
22_0.png	[{"device": ["安防2"], "device_point": [[5494.6044921875, 3855.14404296875, 139.60595703125, 93.5224609375]]}]
22_17.png	[{"device": ["安防1", "安防1", "安防1"], "device_point": [[1850.3941650390625, 1852.43798828125, 122.951171875, 111.0264892578125], [1460.673583984375, 1010.7723388671875, 114.1143798828125, 109.96429443359375], [5375.5185546875, 1008.0029296875, 109.43408203125, 101.00390625]]}]
22_29.png	[{"device": ["UFO", "安防1", "安防1", "箱柜", "安防1"], "device_point": [[1577.458740234375, 934.0096435546875, 176.5213623046875, 91.477294921875], [1833.061279296875, 1167.588623046875, 118.6678466796875, 111.128662109375], [1405.8477783203125, 334.2902526855469, 114.30078125, 105.35003662109375], [1611.184326171875, 1037.8785400390625, 247.3843994140625, 125.8662109375], [5392.021484375, 333.2564697265625, 118.12158203125, 107.58050537109375]]}]
22_4.png	[{"device": ["安防2", "安防2"], "device_point": [[2957.9091796875, 256.547119140625, 140.634033203125, 91.27639770507812], [5221.8505859375, 257.40460205078125, 134.330078125, 101.10115051269531]]}]
22_5.png	[{"device": ["安防1", "安防1", "安防1", "安防2", "安防1", "安防1"], "device_point": [[1843.520263671875, 2471.29833984375, 127.047119140625, 117.00732421875], [4040.1943359375, 1896.6572265625, 118.6162109375, 105.132568359375], [2460.66015625, 1907.2724609375, 101.91064453125, 105.4285888671875], [2239.73974609375, 2819.210693359375, 131.298095703125, 112.13720703125], [3685.23486328125, 1908.1824951171875, 89.284423828125, 90.96533203125], [3680.6640625, 1921.76220703125, 99.1005859375, 86.4979248046875]]}]
22_6.png	[{"device": ["安防2", "安防1"], "device_point": [[5916.2744140625, 1080.5047607421875, 130.85302734375, 76.97705078125], [5908.2421875, 179.41238403320312, 122.42138671875, 78.65232849121094]]}]
